artist_id,total_followers,genres,name,artist_popularity
7dGJo4pcD2V6oG8kP0tJRR,93458924,"['detroit hip hop', 'hip hop', 'rap']",Eminem,93
7bXgB6jMjp9ATFy66eO08Z,24146994,"['r&b', 'rap']",Chris Brown,89
07YZf4WDAMNwqr4jfgOZ8y,12278094,"['dance pop', 'pop']",Jason Derulo,79
1GxkXlMwML1oSg5eLPiAz3,6472269,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",Michael Bublé,83
6prmLEyn4LfHlD9NnXWlf7,1628218,"['dance pop', 'idol', 'pop', 'post-teen pop']",Adam Lambert,61
3aBkeBhwadnWMWoVJ2CxJC,942163,"['neo mellow', 'pop rock', 'post-grunge']",Rob Thomas,62
6ktyNEnEukKzskQEiXgCFD,1047019,"['contemporary country', 'country', 'country road']",Craig Morgan,56
4MCBfE4596Uoi2O4DtmEMz,36322600,"['chicago rap', 'melodic rap', 'rap']",Juice WRLD,90
5Pwc4xIPtQLFEnJriah9YJ,17650892,"['piano rock', 'pop']",OneRepublic,84
0ZrpamOxcZybMHGg1AYtHP,1955806,"['dance pop', 'neo soul', 'pop rap', 'r&b', 'urban contemporary']",Robin Thicke,65
2Hjj68yyUPiC0HKEOigcEp,1043187,"['dance pop', 'pop', 'post-teen pop']",Jesse McCartney,60
30hVqCpEQ8gBRdNvgWMr20,126406,['roots americana'],Benjamin Tod,50
2xiIXseIJcq3nG7C8fHeBj,6430883,"['alternative metal', 'canadian metal', 'canadian rock', 'nu metal', 'post-grunge', 'rock']",Three Days Grace,78
2AOt5htsbtyaHd5Eq3kl3j,1705500,"['contemporary r&b', 'neo soul', 'quiet storm', 'r&b', 'urban contemporary']",Maxwell,60
0hEurMDQu99nJRq8pTxO14,6085082,"['neo mellow', 'singer-songwriter']",John Mayer,79
718COspgdWOnwOFpJHRZHS,11744969,"['contemporary country', 'country']",Luke Combs,87
1By9QBFnjZAoI83BZppHlt,2629804,"['contemporary country', 'country', 'country road']",Billy Currington,66
2bA6fzP0lMAQ4kz6CF61w8,2632078,"['classic oklahoma country', 'contemporary country', 'country', 'country road']",Toby Keith,72
6fOMl44jA4Sp5b9PpYCkzz,10422329,"['hip hop', 'pop rap']",NF,80
1xU878Z1QtBldR7ru9owdU,1948854,"['alternative dance', 'indie rock', 'modern rock', 'new rave', 'rock independant francais', 'shimmer pop']",Phoenix,68
5PokPZn11xzZXyXSfnvIM3,2057040,"['neo mellow', 'pop rock', 'post-grunge']",Lifehouse,66
4BYxqVkZyFjtik7crYLg5Q,2817917,"['contemporary country', 'country', 'country road']",Chris Young,66
3jOstUTkEu2JkjvRdBA5Gu,3941104,"['alternative rock', 'modern power pop', 'modern rock', 'permanent wave', 'rock']",Weezer,76
0RqtSIYZmd4fiBKVFqyIqD,3614266,"['modern rock', 'post-grunge']",Thirty Seconds To Mars,70
